Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
"Arts, culture and sport",Value of participation in sports and physical activity for inactive adults,Number of people,,https://sportengland-production-files.s3.eu-west-2.amazonaws.com/s3fs-public/2025-11/Social%20value%20of%20sport%20and%20physical%20activity%202023-24%20-%20summary%20report.pdf,Existing evidence link,,
"Arts, culture and sport",Value of participation in sports and physical activity for inactive adults 75+,Number of people,,https://sportengland-production-files.s3.eu-west-2.amazonaws.com/s3fs-public/2025-11/Social%20value%20of%20sport%20and%20physical%20activity%202023-24%20-%20summary%20report.pdf,Existing evidence link,,
"Arts, culture and sport",Value of participation in sports and physical activity for inactive adults with a disability or long term health condition,Number of people,,https://sportengland-production-files.s3.eu-west-2.amazonaws.com/s3fs-public/2025-11/Social%20value%20of%20sport%20and%20physical%20activity%202023-24%20-%20summary%20report.pdf,Existing evidence link,,
"Arts, culture and sport",Value of participation in sports and physical activity for inactive children aged 11 - 16,Number of people,,https://sportengland-production-files.s3.eu-west-2.amazonaws.com/s3fs-public/2025-11/Social%20value%20of%20sport%20and%20physical%20activity%202023-24%20-%20summary%20report.pdf,Existing evidence link,,
"Arts, culture and sport",Value of participation in sports and physical activity in fairly active adults,Number of people,,https://sportengland-production-files.s3.eu-west-2.amazonaws.com/s3fs-public/2025-11/Social%20value%20of%20sport%20and%20physical%20activity%202023-24%20-%20summary%20report.pdf,Existing evidence link,,
"Arts, culture and sport",Value of participation in sports and physical activity in fairly active children aged 11-16,Number of people,,https://sportengland-production-files.s3.eu-west-2.amazonaws.com/s3fs-public/2025-11/Social%20value%20of%20sport%20and%20physical%20activity%202023-24%20-%20summary%20report.pdf,Existing evidence link,,
"Better access to, and use of, natural assets and resources",Average cumulative benefit over 50 years per tree planted (2018),Number of trees,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,1,
"Better access to, and use of, natural assets and resources",Average price per acre of amenity land (2024),Number of acres,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,1,
"Better access to, and use of, natural assets and resources",Cost of creating 100m2 of wildlife habitat (2021),Number of 100m2,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,1,
"Better access to, and use of, natural assets and resources","GMCA Average indicative cost of soil erosion (production, water quality, flood risk) (high value) (2024)",Per hectare of average erosion,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
"Better access to, and use of, natural assets and resources /app.socialvalueengine.co.uk/proxies - Social Value Engine","GMCA Average indicative cost of soil erosion (production, water quality, flood risk) (low value) (2024)","Per hectare of average erosion Page 2 of 103 /2026, 17:30",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
"Better access to, and use of, natural assets and resources",Reduction to grocery bills on average by Global growing your own vegetables (2018),of es per,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,1,
"Better access to, and use of, natural assets and resources",Value of creating freshwater wetland Global (2018),of es,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,1,
"Better access to, and use of, natural assets and resources",Wellbeing value of nearby green space Global (life satisfaction approach),rson per,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,1,
Better management and use of the built environment (inc historic properties),Additional GVA generated by businesses occupying listed buildings      Global (2019),of sations ar,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Better management and use of the built environment (inc historic properties),Average increase in property value from Global living near a World Heritage Site (2019),of olds,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Better management of waste and/or more efficient use of resources,Cost saved by reducing food waste Global (2013),of olds nth,,https://www.gov.uk/government/collections/family-food-statistics,Direct/supporting UK source,1,
Better management of waste and/or more efficient use of resources,Household savings from avoidable food Global waste (2015),of olds ar,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Better management of waste and/or more efficient use of resources,Reduction in waste (standard rate Global landfill tax rate) (2019),of,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Brining forward a rural housing site,Full Residential Value of a House in a Global Rural Setting,use,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,1,
Building a strong voluntary and,Average salary of a community development worker (2018)                  Global,of per,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,1,
Building a strong voluntary and community centre,Average salary of a project worker Global (2021),r of e per,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Building a strong voluntary and community centre,Cost of small course accreditation Global (initial assessment) (2018),r of es,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Building a strong voluntary and community centre,Estimation of business time savings Global (travel) (2024),r of eys,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Building a strong voluntary and community centre,Improved governance leading to time Global efficiencies (2016),r of isations ear,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Building a strong voluntary and community centre,"Improved governance relationships, Global improved staff relationships (2016)",r of e per,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Building a strong voluntary and community centre,Improved organisational culture leading to more motivated staff - average cost     Global of replacing an employee (2019),r of yees,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Building a strong voluntary and community centre,Improved volunteer support structure Global (2016),r of isations ear,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Building a strong voluntary and community centre,Typical cost of quality assurance (2024)   Global,r of isations ear,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Community cohesion,Rural wellbeing (reduced isolation in a Global rural geography),nt ing ity- tivities,,https://www.gov.uk/government/collections/community-life-survey,Direct/supporting UK source,1,
Creation of a Local Resilience Hub,Average Cost of a Resilience Hub          Global,b,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Directly connecting job seekers to remote employers and job opportunities,Cost of career guidance for adults Global (2024),rson,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,1,
Directly connecting job seekers to remote employers and job opportunities,Cost of career guidance for young Global people (2024),rson,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,1,
Directly connecting job seekers to remote employers and job opportunities,Value of job seekers allowance saved Global from employment gains (2024),"ployee, ar",,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,1,
Directly connecting job seekers to remote employers and job opportunities /app.socialvalueengine.co.uk/proxies - Social Value Engine,Value of supporting young people into Global work (2024),"rson, ur age 5 of 103 20/08/2026, 17:30",,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,1,
Education and learning,Access to specialist environmental Gl knowledge,er training ourse equivalent to overing 6 pecialist reas),,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Education and learning,Group training for first responders/front Gl line professionals (Domestic abuse),er person for he 4 days,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,1,
Education and skills,National Living Wage,umber of ours,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,1,
Education and skills,"Value of improved wellbeing from participation in employment training (unknown age, London)",umber of eople,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,1,
Education and skills,"Value of improved wellbeing from participation in employment training (unknown age, outside of London)",umber of eople,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,1,
Education and skills,"Value of improved wellbeing from participation in employment training (unknown age, unknown location in UK)",umber of eople,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,1,
