Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Evidence Note,Source Status,
Accessibility and Inclusion,Willingness to Pay for Improved Accessibility (Barrier-Free Access),Per person per trip,,https://www.gov.uk/government/publications/transport-accessibility-rapid-evidence-review,Supporting,"DfT review evidences the social/economic effects of inaccessible transport; it also notes limited robust monetary evidence, so no £ value has been inferred.",UK source researched,
Access to community facilities,Community hall hire (charity/community rate – low estimate),per hour per group,20,https://surreyca.org.uk/business-services/meeting-room-hire/,Direct benchmark,Surrey Community Action lists £20/hour for voluntary-sector room hire and £40/hour standard/public-sector-style hire.,UK source researched,
Arts and Culture Participation,Monetary value of regular arts participation (wellbeing uplift),per person per year,1240,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/limited scope,"DCMS Culture and Heritage Capital research includes a £1,240/person/year estimate for frequent organised arts/music/theatre participation among young adults aged 18–30.",UK source researched,
SCC - At an Individual level (Optional),Being on an apprenticeship/wellbeing (Tackling Health Inequalities: Reaching potential – wider determinants and community-led action),Per Person,,https://www.gov.uk/government/publications/apprenticeship-evaluation-2023-learner-non-completer-and-employer-surveys,Supporting,DfE apprenticeship evaluation provides UK evidence on learner and employer outcomes; no single universal wellbeing £ proxy is stated.,UK source researched,
SCC - At an Individual level (Optional),Cost of a reported anti-social behaviour incident (ASB) (Tackling Health Inequalities: Safe/protected from health risks),Per Incident,1628,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - At an Individual level (Optional),Currently having a job (income etc) (Growing a Sustainable Economy: Ensuring residents support the workforce and skills demand of businesses),Per Person,42000,https://measure-up.org/values/,,,Original evidence link,
SCC - At an Individual level (Optional),Improved Digital Skills (Growing a Sustainable Economy: Ensuring residents support the workforce and skills demand of businesses),Per Person,,https://www.gov.uk/government/statistics/dsit-public-engagement-survey-20252026/dsit-public-engagement-survey-20252026,Direct outcome evidence,"DSIT UK survey measures digital skills and perceived benefits including saving time, job skills and better organisation.",UK source researched,
SCC - At an Individual level (Optional),"Reduced Loneliness (Tackling Health Inequalities: Mental and emotional wellness incl. early help, supporting parents, reducing isolation)",Per Person,8100,https://measure-up.org/values/,,,Original evidence link,
SCC - At an Individual level (Optional),Reduction in Crime - costs of insurance/property/wellbeing (Tackling Health Inequalities: Safe/protected from health risks),Per Person,1628,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - At an Individual level (Optional),"Volunteering 8 hours per month (Empowered and Thriving Communities: Community cohesion and place shaping – residents feel connected, support others and set/deliver local priorities)",Per Person Per Year,3400,https://measure-up.org/values/,,,Original evidence link,
SCC - System Level (Optional),Savings in CO2e emissions on contract achieved through de-carbonisation against a specific benchmark,tonnes,264,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct,DESNZ Green Book supplementary guidance provides central £/tCO2e carbon values for policy appraisal.,UK source researched,
SCC - System Level,Value of mental health component on Quality of Life Adjusted year,Per Person,30700,https://measure-up.org/values/,,,Original evidence link,
