proxy_id,outcome_name,category,current_value,evidence_url,evidence_notes
666e2f73-2a39-4770-84a5-9e362340f3e7,Value of an individual moving from poor mental health to full health,HEALTH,18000.00,,
2aa17156-211d-47b8-9df7-38d8f5d858c0,Value of an individual moving from poor mental health to full health with support,HEALTH,18000.00,,
3ed83761-46b3-4684-9de5-b5e5750bf408,Value of an individual moving from poor mental health to full health without support,HEALTH,18000.00,,
cc871c5d-4cd0-4239-8b32-2ba55800dc75,Value of an individual moving from homelessness to a stable home with support,HEALTH,18000.00,,
6925aac6-d51e-4ad2-95be-36f9ef7bc966,Value of an individual moving from homelessness to a stable home without support,HEALTH,18000.00,,
9b4fcfb9-3387-45fb-b8dc-0c17df3c2eeb,Value of an individual moving from debt to financial stability,HEALTH,18000.00,,
dc86f4d3-d30f-4b66-8e3a-d3ad5e6bbf5e,Value of an individual moving from debt to financial stability with support,HEALTH,18000.00,,
d7285cd0-4bdd-41f0-8c9a-4076c0d146a1,Value of an individual moving from social isolation to social inclusion,HEALTH,18000.00,,
c2c08d9f-7edd-4264-9c53-c0466eecbfe8,Value of an individual moving from social isolation to social inclusion with support,HEALTH,18000.00,,
c7b55251-d2c4-4645-a2b3-b27384f396f3,Value of an individual moving from social isolation to social inclusion without support,HEALTH,18000.00,,
dc81c9a2-049d-4363-abc9-5371203cd53a,Value of participation in sports for inactive adults,HEALTH,1500.00,,
19074f5e-f9de-485d-8b2f-7cd8b3116462,Value of participation in sports for inactive young people,HEALTH,1500.00,,
f6c05057-b1a3-48f1-9703-5392ac219ce2,Value of moving an individual from unemployment to employment,HEALTH,18000.00,,
abd709de-6b92-4942-8c2e-927f04a71fd6,Value of an unemployed person moving into employment with support,HEALTH,18000.00,,
2e4b55d4-6235-4a05-a240-298ffca3a538,Value of an unemployed person moving into employment without support,HEALTH,18000.00,,
6a03fa18-b89a-4b5f-9356-f1117e53ec26,Value of an individual moving from long-term health condition to full health,HEALTH,18000.00,,
6cc5d221-160b-4244-a5c4-d16206d3ba10,Value of an individual moving from long-term health condition to full health with support,HEALTH,18000.00,,
e6d204c3-37dc-4c81-8e9b-34cabb7b4100,Value of an individual moving from long-term health condition to full health without support,HEALTH,18000.00,,
8568e45f-6877-43fd-b30b-d6877fcedb2b,Value of an individual moving from homelessness to a stable home,HEALTH,18000.00,,
5344a09b-1370-4afd-b913-83641f0d8593,Value of an individual moving from debt to financial stability without support,HEALTH,18000.00,,
